,Unnamed: 0,zip,Population,income,edu_high,Emp,Race_w,Race_h,Race_b,Race_a,Race_m,Race_o,Households
0,0,89002,34343,196338,7825,15700,26100,4746,1027,1403,955,124,11431
1,1,89004,345,250001,168,177,329,10,0,6,0,0,144
2,2,89005,15373,188448,4269,6041,13000,1408,51,401,386,172,6256
3,3,89007,1423,104827,65,489,772,605,0,0,0,46,349
4,4,89011,21506,181331,4964,10600,12800,4081,2121,1624,820,106,8290
5,5,89012,31614,220427,10100,14700,21900,4049,1544,2515,1311,254,12918
6,6,89014,38916,170423,8946,19500,22900,8413,2757,2286,1567,964,15514
7,7,89015,41738,152637,7038,17100,28600,7111,3397,1075,1012,499,14782
8,8,89018,4797,93602,347,289,1905,1152,1397,53,183,107,379
9,9,89019,1762,147322,61,775,1420,203,42,93,4,0,837
10,10,89021,3322,182685,569,1300,3012,303,0,7,0,0,929
11,11,89025,1589,175570,132,582,834,518,2,8,7,220,387
12,12,89027,16953,129305,3657,5356,12600,3557,117,264,202,210,7379
13,13,89029,7823,104748,1520,2266,5859,1021,438,164,262,79,4011
14,14,89030,47895,93276,1934,17000,4890,34100,7410,686,485,312,13122
15,15,89031,66586,157386,10900,31200,24500,22700,11100,4277,2898,1189,19905
16,16,89032,43967,134948,5559,19600,9683,17000,11900,2774,1723,844,13404
17,17,89039,143,76225,14,22,124,5,5,0,0,9,102
18,18,89040,3334,148825,545,1143,2978,168,21,11,94,62,1247
19,19,89044,18587,212327,7539,8034,14000,1210,856,2099,294,80,8081
20,20,89046,398,57194,72,146,384,14,0,0,0,0,206
21,21,89052,51208,250001,18700,23300,33300,7158,2163,6596,1665,289,20307
22,22,89054,48,46875,10,35,48,0,0,0,0,0,25
23,23,89074,49133,230125,14700,25900,32100,8285,2427,3900,1972,464,18994
24,24,89081,34495,154232,5603,14600,10500,9923,9385,2323,1954,432,10035
25,25,89084,24583,202111,7340,10700,12300,4476,3782,2720,759,519,8768
26,26,89085,4369,175820,947,2094,2459,854,249,701,60,46,1236
27,27,89086,5787,125386,880,2525,1759,1805,1704,161,350,8,1926
28,28,89101,40673,91475,3019,14400,8658,23000,6358,1352,927,370,13827
29,29,89102,37272,128171,5140,16000,10600,18300,4228,2811,855,478,14020
30,30,89103,50979,117282,8219,26000,17700,16900,6993,7344,1426,631,21336
31,31,89104,39694,116765,4515,16900,10700,22900,3019,1964,808,301,14021
32,32,89106,26300,112054,2503,9513,3655,9957,10100,1261,832,525,8680
33,33,89107,37943,132158,4492,16400,14100,17800,3304,1239,804,753,12426
34,34,89108,75179,125400,8973,33200,28000,30500,11400,2514,1664,1099,25670
35,35,89109,7491,250001,3130,4198,3696,1733,1024,732,189,117,3929
36,36,89110,73896,144401,6442,31200,16400,44500,6267,4295,1692,767,20877
37,37,89113,26927,201482,7112,15500,12100,4385,2447,5709,1883,408,10311
38,38,89115,59220,111489,4333,21700,11900,31900,11300,1855,1691,606,17427
39,39,89117,53462,200960,15600,27500,29800,8410,4014,7704,2844,711,22419
40,40,89118,20682,162120,4108,11200,8702,4191,2798,3655,1170,166,8130
41,41,89119,50333,117859,7245,24300,15600,21600,6596,4319,1469,794,20273
42,42,89120,24830,170696,5412,12000,12100,7459,2268,1928,649,386,9147
43,43,89121,63884,131266,8929,28100,26100,26600,6276,2986,1164,767,23737
44,44,89122,49800,124047,7516,22800,17100,18900,5291,5547,2080,944,17575
45,45,89123,57322,181696,14600,30900,32299,11500,3266,7089,1787,1402,22715
46,46,89124,783,250001,313,428,620,71,1,28,32,31,303
47,47,89128,37110,187104,9564,18000,18000,8622,4954,3599,1595,345,14458
48,48,89129,55164,193605,14500,27900,32800,9211,5742,4539,2431,486,19825
49,49,89130,35480,168484,7765,16200,20000,7353,5041,1713,1180,150,12563
50,50,89131,46129,206955,12300,21700,30000,7197,3701,2709,2183,352,15725
51,51,89134,25053,234601,10100,8352,19200,2170,1313,1736,561,101,11679
52,52,89135,25919,250001,11100,12100,17600,2631,1266,3355,996,93,10750
53,53,89138,14753,250001,5671,6949,8924,1951,731,2387,515,245,5007
54,54,89139,37869,184123,10000,20800,12600,8301,3733,10800,1778,688,11793
55,55,89141,29182,240076,8201,14800,14900,4780,2374,5652,1176,254,9627
56,56,89142,34834,136603,4711,16200,8184,17400,3266,4392,963,582,10575
57,57,89143,12778,192977,3144,5738,8002,2195,960,827,700,94,4094
58,58,89144,18858,250001,6490,8437,12000,2267,1487,2501,454,129,7132
59,59,89145,25193,219090,6073,12100,13800,7124,1655,1658,809,161,9442
60,60,89146,17896,166520,3716,7988,7500,5553,1784,2462,523,74,6411
61,61,89147,52646,160290,11700,26300,22000,10600,6622,10000,2477,954,18889
62,62,89148,47938,167138,13100,25200,20200,7950,4021,11600,3314,922,16174
63,63,89149,35120,207908,9592,17000,22400,4449,3629,2323,1790,523,13091
64,64,89156,29132,135845,2893,12200,9107,13400,3729,1426,983,449,9055
65,65,89161,52,0,0,52,38,14,0,0,0,0,44
66,66,89166,17783,178758,4421,7364,9851,3061,2179,1418,927,347,5094
67,67,89169,22421,125360,3016,10700,6347,10400,2971,1848,731,126,8990
68,68,89178,35241,203397,10500,19300,15800,5355,2365,8724,2466,570,11679
69,69,89179,5178,203279,1670,2686,2355,922,258,1399,228,16,1694
70,70,89183,38974,163121,9278,20400,18400,7781,3745,6034,2492,546,13897
